task,algo1,algo2,test,alpha,epsilon,target_n,power,se
Hopper-v5,SAC,TD3,bootstrap,0.05,1.0,10,0.635,0.015224158433227107
Hopper-v5,SAC,TD3,permutation,0.05,1.0,10,0.57,0.015655669899432602
Hopper-v5,SAC,TD3,t-test,0.05,1.0,20,0.818,0.01220147532063234
Hopper-v5,SAC,TD3,Welch t-test,0.05,1.0,20,0.83,0.0118785521003193
Hopper-v5,SAC,TD3,Mann-Whitney,0.05,1.0,20,0.782,0.013056645817360598
Hopper-v5,SAC,TD3,Ranked t-test,0.05,1.0,20,0.797,0.012719709116170855
Hopper-v5,SAC,TD3,bootstrap,0.05,1.0,20,0.845,0.011444430960078356
Hopper-v5,SAC,TD3,permutation,0.05,1.0,20,0.832,0.011822690049223148
Hopper-v5,SAC,TD3,t-test,0.05,1.0,30,0.941,0.007451107300260817
Hopper-v5,SAC,TD3,Welch t-test,0.05,1.0,30,0.944,0.007270763371201131
Hopper-v5,SAC,TD3,Mann-Whitney,0.05,1.0,30,0.927,0.008226238508577293
Hopper-v5,SAC,TD3,Ranked t-test,0.05,1.0,30,0.926,0.008277922444671728
Hopper-v5,SAC,TD3,bootstrap,0.05,1.0,30,0.937,0.007683163410991592
Hopper-v5,SAC,TD3,permutation,0.05,1.0,30,0.931,0.008014923580421711
Hopper-v5,SAC,TD3,t-test,0.05,1.0,50,0.995,0.002230470802319547
Hopper-v5,SAC,TD3,Welch t-test,0.05,1.0,50,0.993,0.002636474919281427
Hopper-v5,SAC,TD3,Mann-Whitney,0.05,1.0,50,0.995,0.002230470802319547
Hopper-v5,SAC,TD3,Ranked t-test,0.05,1.0,50,0.994,0.002442130217658347
Hopper-v5,SAC,TD3,bootstrap,0.05,1.0,50,0.997,0.0017294507798720387
Hopper-v5,SAC,TD3,permutation,0.05,1.0,50,0.998,0.0014127986409959495
Hopper-v5,SAC,TD3,t-test,0.05,1.0,100,1.0,0.0
Hopper-v5,SAC,TD3,Welch t-test,0.05,1.0,100,1.0,0.0
Hopper-v5,SAC,TD3,Mann-Whitney,0.05,1.0,100,1.0,0.0
Hopper-v5,SAC,TD3,Ranked t-test,0.05,1.0,100,1.0,0.0
Hopper-v5,SAC,TD3,bootstrap,0.05,1.0,100,1.0,0.0
Hopper-v5,SAC,TD3,permutation,0.05,1.0,100,1.0,0.0
Hopper-v5,SAC,TD3,t-test,0.05,2.0,2,0.467,0.015776913513105152
Hopper-v5,SAC,TD3,Welch t-test,0.05,2.0,2,0.317,0.014714312760030624
Hopper-v5,SAC,TD3,Mann-Whitney,0.05,2.0,2,0.0,0.0
Hopper-v5,SAC,TD3,Ranked t-test,0.05,2.0,2,0.0,0.0
Hopper-v5,SAC,TD3,bootstrap,0.05,2.0,2,0.815,0.012279047194306243
Hopper-v5,SAC,TD3,permutation,0.05,2.0,2,0.815,0.012279047194306243
Hopper-v5,SAC,TD3,t-test,0.05,2.0,3,0.671,0.014857960829131297
Hopper-v5,SAC,TD3,Welch t-test,0.05,2.0,3,0.432,0.01566448211719749
Hopper-v5,SAC,TD3,Mann-Whitney,0.05,2.0,3,0.0,0.0
Hopper-v5,SAC,TD3,Ranked t-test,0.05,2.0,3,0.512,0.01580683396509244
Hopper-v5,SAC,TD3,bootstrap,0.05,2.0,3,0.791,0.012857643641040918
Hopper-v5,SAC,TD3,permutation,0.05,2.0,3,0.719,0.014214042352547005
Hopper-v5,SAC,TD3,t-test,0.05,2.0,5,0.733,0.013989674763910703
Hopper-v5,SAC,TD3,Welch t-test,0.05,2.0,5,0.727,0.014087973594523805
Hopper-v5,SAC,TD3,Mann-Whitney,0.05,2.0,5,0.367,0.015241751867813621
Hopper-v5,SAC,TD3,Ranked t-test,0.05,2.0,5,0.422,0.01561781034588396
Hopper-v5,SAC,TD3,bootstrap,0.05,2.0,5,0.791,0.012857643641040918
Hopper-v5,SAC,TD3,permutation,0.05,2.0,5,0.709,0.014363808687113596
Hopper-v5,SAC,TD3,t-test,0.05,2.0,10,0.945,0.007209368904418752
Hopper-v5,SAC,TD3,Welch t-test,0.05,2.0,10,0.955,0.00655553201502365
Hopper-v5,SAC,TD3,Mann-Whitney,0.05,2.0,10,0.733,0.013989674763910703
Hopper-v5,SAC,TD3,Ranked t-test,0.05,2.0,10,0.733,0.013989674763910703
Hopper-v5,SAC,TD3,bootstrap,0.05,2.0,10,0.973,0.005125524363418832
Hopper-v5,SAC,TD3,permutation,0.05,2.0,10,0.942,0.007391616873188169
Hopper-v5,SAC,TD3,t-test,0.05,2.0,20,1.0,0.0
Hopper-v5,SAC,TD3,Welch t-test,0.05,2.0,20,1.0,0.0
Hopper-v5,SAC,TD3,Mann-Whitney,0.05,2.0,20,0.971,0.005306505441436956
Hopper-v5,SAC,TD3,Ranked t-test,0.05,2.0,20,0.963,0.005969170796685251
Hopper-v5,SAC,TD3,bootstrap,0.05,2.0,20,1.0,0.0
Hopper-v5,SAC,TD3,permutation,0.05,2.0,20,1.0,0.0
Hopper-v5,SAC,TD3,t-test,0.05,2.0,30,1.0,0.0
Hopper-v5,SAC,TD3,Welch t-test,0.05,2.0,30,1.0,0.0
Hopper-v5,SAC,TD3,Mann-Whitney,0.05,2.0,30,0.993,0.002636474919281427
Hopper-v5,SAC,TD3,Ranked t-test,0.05,2.0,30,0.996,0.0019959959919799443
Hopper-v5,SAC,TD3,bootstrap,0.05,2.0,30,1.0,0.0
Hopper-v5,SAC,TD3,permutation,0.05,2.0,30,1.0,0.0
Hopper-v5,SAC,TD3,t-test,0.05,2.0,50,1.0,0.0
Hopper-v5,SAC,TD3,Welch t-test,0.05,2.0,50,1.0,0.0
Hopper-v5,SAC,TD3,Mann-Whitney,0.05,2.0,50,1.0,0.0
Hopper-v5,SAC,TD3,Ranked t-test,0.05,2.0,50,1.0,0.0
Hopper-v5,SAC,TD3,bootstrap,0.05,2.0,50,1.0,0.0
Hopper-v5,SAC,TD3,permutation,0.05,2.0,50,1.0,0.0
Hopper-v5,SAC,TD3,t-test,0.05,2.0,100,1.0,0.0
Hopper-v5,SAC,TD3,Welch t-test,0.05,2.0,100,1.0,0.0
Hopper-v5,SAC,TD3,Mann-Whitney,0.05,2.0,100,1.0,0.0
Hopper-v5,SAC,TD3,Ranked t-test,0.05,2.0,100,1.0,0.0
Hopper-v5,SAC,TD3,bootstrap,0.05,2.0,100,1.0,0.0
Hopper-v5,SAC,TD3,permutation,0.05,2.0,100,1.0,0.0
Hopper-v5,SAC,TD3,t-test,0.01,0.5,2,0.042,0.0063431853196954605
Hopper-v5,SAC,TD3,Welch t-test,0.01,0.5,2,0.009,0.002986469487538756
Hopper-v5,SAC,TD3,Mann-Whitney,0.01,0.5,2,0.0,0.0
Hopper-v5,SAC,TD3,Ranked t-test,0.01,0.5,2,0.0,0.0
Hopper-v5,SAC,TD3,bootstrap,0.01,0.5,2,0.645,0.015131919904625453
Hopper-v5,SAC,TD3,permutation,0.01,0.5,2,0.631,0.015259062880793171
Hopper-v5,SAC,TD3,t-test,0.01,0.5,3,0.073,0.008226238508577295
Hopper-v5,SAC,TD3,Welch t-test,0.01,0.5,3,0.04,0.0061967733539318665
Hopper-v5,SAC,TD3,Mann-Whitney,0.01,0.5,3,0.0,0.0
Hopper-v5,SAC,TD3,Ranked t-test,0.01,0.5,3,0.0,0.0
Hopper-v5,SAC,TD3,bootstrap,0.01,0.5,3,0.484,0.015803290796539814
Hopper-v5,SAC,TD3,permutation,0.01,0.5,3,0.462,0.01576565888252058
Hopper-v5,SAC,TD3,t-test,0.01,0.5,5,0.101,0.009528850927577786
Hopper-v5,SAC,TD3,Welch t-test,0.01,0.5,5,0.065,0.007795832219846705
Hopper-v5,SAC,TD3,Mann-Whitney,0.01,0.5,5,0.025,0.0049371044145328745
Hopper-v5,SAC,TD3,Ranked t-test,0.01,0.5,5,0.043,0.006414904519944158
Hopper-v5,SAC,TD3,bootstrap,0.01,0.5,5,0.395,0.015458816254810716
Hopper-v5,SAC,TD3,permutation,0.01,0.5,5,0.268,0.014006284303840188
Hopper-v5,SAC,TD3,t-test,0.01,0.5,10,0.169,0.011850696182081457
Hopper-v5,SAC,TD3,Welch t-test,0.01,0.5,10,0.147,0.011197812286335219
Hopper-v5,SAC,TD3,Mann-Whitney,0.01,0.5,10,0.039,0.006122009474020765
Hopper-v5,SAC,TD3,Ranked t-test,0.01,0.5,10,0.064,0.007739767438366608
Hopper-v5,SAC,TD3,bootstrap,0.01,0.5,10,0.256,0.013800869537822608
Hopper-v5,SAC,TD3,permutation,0.01,0.5,10,0.214,0.012969348480166612
Hopper-v5,SAC,TD3,t-test,0.01,0.5,20,0.207,0.012812142677944232
