task,algo1,algo2,test,alpha,epsilon,target_n,power,se
Hopper-v5,SAC,TD3,t-test,0.05,0.5,2,0.186,0.012304633273690036
Hopper-v5,SAC,TD3,Welch t-test,0.05,0.5,2,0.093,0.009184280047995052
Hopper-v5,SAC,TD3,Mann-Whitney,0.05,0.5,2,0.0,0.0
Hopper-v5,SAC,TD3,Ranked t-test,0.05,0.5,2,0.0,0.0
Hopper-v5,SAC,TD3,bootstrap,0.05,0.5,2,0.642,0.01516034300403523
Hopper-v5,SAC,TD3,permutation,0.05,0.5,2,0.687,0.014663935351739654
Hopper-v5,SAC,TD3,t-test,0.05,0.5,3,0.242,0.013543854695026818
Hopper-v5,SAC,TD3,Welch t-test,0.05,0.5,3,0.228,0.013267102170406317
Hopper-v5,SAC,TD3,Mann-Whitney,0.05,0.5,3,0.0,0.0
Hopper-v5,SAC,TD3,Ranked t-test,0.05,0.5,3,0.153,0.011383804285035824
Hopper-v5,SAC,TD3,bootstrap,0.05,0.5,3,0.554,0.01571890581433708
Hopper-v5,SAC,TD3,permutation,0.05,0.5,3,0.524,0.01579316307773715
Hopper-v5,SAC,TD3,t-test,0.05,0.5,5,0.274,0.014104041973845655
Hopper-v5,SAC,TD3,Welch t-test,0.05,0.5,5,0.199,0.012625331678811452
Hopper-v5,SAC,TD3,Mann-Whitney,0.05,0.5,5,0.109,0.00985489725973843
Hopper-v5,SAC,TD3,Ranked t-test,0.05,0.5,5,0.139,0.010939789760319894
Hopper-v5,SAC,TD3,bootstrap,0.05,0.5,5,0.42,0.015607690412101338
Hopper-v5,SAC,TD3,permutation,0.05,0.5,5,0.401,0.015498354751392161
Hopper-v5,SAC,TD3,t-test,0.05,0.5,10,0.259,0.013853483316480371
Hopper-v5,SAC,TD3,Welch t-test,0.05,0.5,10,0.279,0.014183053267896867
Hopper-v5,SAC,TD3,Mann-Whitney,0.05,0.5,10,0.252,0.013729384545565033
Hopper-v5,SAC,TD3,Ranked t-test,0.05,0.5,10,0.246,0.013619251080731275
