task,algo1,algo2,test,alpha,epsilon,target_n,power,se
Hopper-v5,SAC,TD3,Welch t-test,0.05,1.0,20,0.839,0.011622349160131098
Hopper-v5,SAC,TD3,Mann-Whitney,0.05,1.0,20,0.835,0.011737759581794136
Hopper-v5,SAC,TD3,Ranked t-test,0.05,1.0,20,0.836,0.011709141727727102
Hopper-v5,SAC,TD3,bootstrap,0.05,1.0,20,0.844,0.011474493452871897
Hopper-v5,SAC,TD3,permutation,0.05,1.0,20,0.855,0.011134406135937382
Hopper-v5,SAC,TD3,t-test,0.05,1.0,30,0.946,0.0071473071852271785
Hopper-v5,SAC,TD3,Welch t-test,0.05,1.0,30,0.95,0.006892024376045114
Hopper-v5,SAC,TD3,Mann-Whitney,0.05,1.0,30,0.929,0.008121514637061239
Hopper-v5,SAC,TD3,Ranked t-test,0.05,1.0,30,0.931,0.008014923580421711
Hopper-v5,SAC,TD3,bootstrap,0.05,1.0,30,0.955,0.00655553201502365
Hopper-v5,SAC,TD3,permutation,0.05,1.0,30,0.945,0.007209368904418752
Hopper-v5,SAC,TD3,t-test,0.05,2.0,2,0.468,0.015778973350633434
Hopper-v5,SAC,TD3,Welch t-test,0.05,2.0,2,0.373,0.015292841462592882
Hopper-v5,SAC,TD3,Mann-Whitney,0.05,2.0,2,0.0,0.0
Hopper-v5,SAC,TD3,Ranked t-test,0.05,2.0,2,0.0,0.0
Hopper-v5,SAC,TD3,bootstrap,0.05,2.0,2,0.801,0.012625331678811452
Hopper-v5,SAC,TD3,permutation,0.05,2.0,2,0.829,0.011906258858264422
Hopper-v5,SAC,TD3,t-test,0.05,2.0,3,0.662,0.014958475858188226
Hopper-v5,SAC,TD3,Welch t-test,0.05,2.0,3,0.433,0.015668790636165893
Hopper-v5,SAC,TD3,Mann-Whitney,0.05,2.0,3,0.0,0.0
Hopper-v5,SAC,TD3,Ranked t-test,0.05,2.0,3,0.519,0.01579996835439869
Hopper-v5,SAC,TD3,bootstrap,0.05,2.0,3,0.798,0.01269629867323544
Hopper-v5,SAC,TD3,permutation,0.05,2.0,3,0.679,0.0147634345597493
Hopper-v5,SAC,TD3,t-test,0.05,2.0,5,0.743,0.013818502089589886
Hopper-v5,SAC,TD3,Welch t-test,0.05,2.0,5,0.718,0.014229406171727618
Hopper-v5,SAC,TD3,Mann-Whitney,0.05,2.0,5,0.374,0.015301111070768685
Hopper-v5,SAC,TD3,Ranked t-test,0.05,2.0,5,0.467,0.015776913513105152
Hopper-v5,SAC,TD3,bootstrap,0.05,2.0,5,0.81,0.012405643876881197
Hopper-v5,SAC,TD3,permutation,0.05,2.0,5,0.726,0.014104041973845655
Hopper-v5,SAC,TD3,t-test,0.05,2.0,10,0.959,0.006270486424512857
Hopper-v5,SAC,TD3,Welch t-test,0.05,2.0,10,0.964,0.005891010100144119
Hopper-v5,SAC,TD3,Mann-Whitney,0.05,2.0,10,0.768,0.013348258313353095
Hopper-v5,SAC,TD3,Ranked t-test,0.05,2.0,10,0.767,0.013368283360252356
Hopper-v5,SAC,TD3,bootstrap,0.05,2.0,10,0.968,0.005565608681896351
Hopper-v5,SAC,TD3,permutation,0.05,2.0,10,0.96,0.00619677335393187
Hopper-v5,SAC,TD3,t-test,0.05,2.0,20,1.0,0.0
Hopper-v5,SAC,TD3,Welch t-test,0.05,2.0,20,0.999,0.0009994998749374613
Hopper-v5,SAC,TD3,Mann-Whitney,0.05,2.0,20,0.976,0.004839834707921338
Hopper-v5,SAC,TD3,Ranked t-test,0.05,2.0,20,0.973,0.005125524363418832
Hopper-v5,SAC,TD3,bootstrap,0.05,2.0,20,1.0,0.0
Hopper-v5,SAC,TD3,permutation,0.05,2.0,20,1.0,0.0
Hopper-v5,SAC,TD3,t-test,0.05,2.0,30,1.0,0.0
