task,algo1,algo2,test,alpha,target_n,fpr,se,expected_fpr
Hopper-v5,SAC,TD3,Welch t-test,0.01,20,0.01,0.003146426544510455,0.01
Hopper-v5,SAC,TD3,Mann-Whitney,0.01,20,0.012,0.003443254274665175,0.01
Hopper-v5,SAC,TD3,Ranked t-test,0.01,20,0.014,0.003715373467095872,0.01
Hopper-v5,SAC,TD3,bootstrap,0.01,20,0.034,0.005730968504537431,0.01
Hopper-v5,SAC,TD3,permutation,0.01,20,0.018,0.004204283529925164,0.01
Hopper-v5,SAC,TD3,t-test,0.01,30,0.013,0.003582038525755969,0.01
Hopper-v5,SAC,TD3,Welch t-test,0.01,30,0.008,0.0028170906978654416,0.01
Hopper-v5,SAC,TD3,Mann-Whitney,0.01,30,0.015,0.003843826218756514,0.01
Hopper-v5,SAC,TD3,Ranked t-test,0.01,30,0.014,0.003715373467095872,0.01
Hopper-v5,SAC,TD3,bootstrap,0.01,30,0.021,0.004534203347888138,0.01
Hopper-v5,SAC,TD3,permutation,0.01,30,0.009,0.002986469487538756,0.01
Hopper-v5,SAC,DDPG,t-test,0.05,2,0.093,0.009184280047995052,0.05
Hopper-v5,SAC,DDPG,Welch t-test,0.05,2,0.047,0.006692607862410586,0.05
Hopper-v5,SAC,DDPG,Mann-Whitney,0.05,2,0.0,0.0,0.05
Hopper-v5,SAC,DDPG,Ranked t-test,0.05,2,0.0,0.0,0.05
Hopper-v5,SAC,DDPG,bootstrap,0.05,2,0.343,0.015011695440555674,0.05
Hopper-v5,SAC,DDPG,permutation,0.05,2,0.365,0.015224158433227107,0.05
Hopper-v5,SAC,DDPG,t-test,0.05,3,0.092,0.00913980306133562,0.05
Hopper-v5,SAC,DDPG,Welch t-test,0.05,3,0.05,0.006892024376045111,0.05
Hopper-v5,SAC,DDPG,Mann-Whitney,0.05,3,0.0,0.0,0.05
Hopper-v5,SAC,DDPG,Ranked t-test,0.05,3,0.156,0.011474493452871897,0.05
Hopper-v5,SAC,DDPG,bootstrap,0.05,3,0.241,0.013524755080961725,0.05
Hopper-v5,SAC,DDPG,permutation,0.05,3,0.149,0.01126050620531777,0.05
Hopper-v5,SAC,DDPG,t-test,0.05,5,0.064,0.007739767438366608,0.05
Hopper-v5,SAC,DDPG,Welch t-test,0.05,5,0.05,0.006892024376045111,0.05
Hopper-v5,SAC,DDPG,Mann-Whitney,0.05,5,0.037,0.005969170796685248,0.05
Hopper-v5,SAC,DDPG,Ranked t-test,0.05,5,0.092,0.00913980306133562,0.05
Hopper-v5,SAC,DDPG,bootstrap,0.05,5,0.129,0.010599952830083727,0.05
Hopper-v5,SAC,DDPG,permutation,0.05,5,0.077,0.00843036179532053,0.05
Hopper-v5,SAC,DDPG,t-test,0.05,10,0.048,0.006759881655768835,0.05
Hopper-v5,SAC,DDPG,Welch t-test,0.05,10,0.057,0.007331507348424334,0.05
Hopper-v5,SAC,DDPG,Mann-Whitney,0.05,10,0.087,0.00891240708226459,0.05
Hopper-v5,SAC,DDPG,Ranked t-test,0.05,10,0.096,0.009315793041926168,0.05
Hopper-v5,SAC,DDPG,bootstrap,0.05,10,0.076,0.008379976133617566,0.05
Hopper-v5,SAC,DDPG,permutation,0.05,10,0.072,0.008174105455644672,0.05
Hopper-v5,SAC,DDPG,t-test,0.05,20,0.053,0.00708456067798138,0.05
Hopper-v5,SAC,DDPG,Welch t-test,0.05,20,0.058,0.007391616873188166,0.05
Hopper-v5,SAC,DDPG,Mann-Whitney,0.05,20,0.139,0.010939789760319894,0.05
Hopper-v5,SAC,DDPG,Ranked t-test,0.05,20,0.142,0.011037934589405754,0.05
Hopper-v5,SAC,DDPG,bootstrap,0.05,20,0.078,0.008480330182251162,0.05
Hopper-v5,SAC,DDPG,permutation,0.05,20,0.059,0.007451107300260815,0.05
Hopper-v5,SAC,DDPG,t-test,0.05,30,0.053,0.00708456067798138,0.05
Hopper-v5,SAC,DDPG,Welch t-test,0.05,30,0.047,0.006692607862410586,0.05
Hopper-v5,SAC,DDPG,Mann-Whitney,0.05,30,0.19,0.012405643876881199,0.05
Hopper-v5,SAC,DDPG,Ranked t-test,0.05,30,0.194,0.012504559168559283,0.05
Hopper-v5,SAC,DDPG,bootstrap,0.05,30,0.062,0.007626008130076967,0.05
Hopper-v5,SAC,DDPG,permutation,0.05,30,0.064,0.007739767438366608,0.05
Hopper-v5,SAC,DDPG,t-test,0.01,2,0.029,0.005306505441436953,0.01
Hopper-v5,SAC,DDPG,Welch t-test,0.01,2,0.013,0.003582038525755969,0.01
