task,algo1,algo2,test,alpha,epsilon,target_n,power,se
Humanoid-v5,SAC,TD3,t-test,0.05,1.0,5,0.306,0.0145727142289966
Humanoid-v5,SAC,TD3,Welch t-test,0.05,1.0,5,0.214,0.012969348480166612
Humanoid-v5,SAC,TD3,Mann-Whitney,0.05,1.0,5,0.259,0.013853483316480371
Humanoid-v5,SAC,TD3,Ranked t-test,0.05,1.0,5,0.308,0.014599178059055242
Humanoid-v5,SAC,TD3,bootstrap,0.05,1.0,5,0.447,0.015722308990730335
Humanoid-v5,SAC,TD3,permutation,0.05,1.0,5,0.338,0.014958475858188226
Humanoid-v5,SAC,TD3,t-test,0.05,1.0,10,0.536,0.015770351930125083
Humanoid-v5,SAC,TD3,Welch t-test,0.05,1.0,10,0.476,0.01579316307773715
Humanoid-v5,SAC,TD3,Mann-Whitney,0.05,1.0,10,0.552,0.015725647840391186
Humanoid-v5,SAC,TD3,Ranked t-test,0.05,1.0,10,0.569,0.015660108556456435
Humanoid-v5,SAC,TD3,bootstrap,0.05,1.0,10,0.613,0.015402305022301045
Humanoid-v5,SAC,TD3,permutation,0.05,1.0,10,0.536,0.015770351930125083
Humanoid-v5,SAC,TD3,t-test,0.05,1.0,20,0.844,0.011474493452871897
Humanoid-v5,SAC,TD3,Welch t-test,0.05,1.0,20,0.838,0.011651437679531227
Humanoid-v5,SAC,TD3,Mann-Whitney,0.05,1.0,20,0.839,0.011622349160131098
Humanoid-v5,SAC,TD3,Ranked t-test,0.05,1.0,20,0.849,0.01132249972400088
Humanoid-v5,SAC,TD3,bootstrap,0.05,1.0,20,0.867,0.010738295954200556
Humanoid-v5,SAC,TD3,permutation,0.05,1.0,20,0.828,0.011933817494833748
Humanoid-v5,SAC,TD3,t-test,0.05,1.0,30,0.951,0.006826346021115546
Humanoid-v5,SAC,TD3,Welch t-test,0.05,1.0,30,0.962,0.006046155803483734
Humanoid-v5,SAC,TD3,Mann-Whitney,0.05,1.0,30,0.957,0.006414904519944161
Humanoid-v5,SAC,TD3,Ranked t-test,0.05,1.0,30,0.955,0.00655553201502365
Humanoid-v5,SAC,TD3,bootstrap,0.05,1.0,30,0.967,0.005648982209212561
Humanoid-v5,SAC,TD3,permutation,0.05,1.0,30,0.943,0.007331507348424336
Humanoid-v5,SAC,TD3,t-test,0.05,1.0,50,0.996,0.0019959959919799443
Humanoid-v5,SAC,TD3,Welch t-test,0.05,1.0,50,0.997,0.0017294507798720387
Humanoid-v5,SAC,TD3,Mann-Whitney,0.05,1.0,50,0.997,0.0017294507798720387
Humanoid-v5,SAC,TD3,Ranked t-test,0.05,1.0,50,0.999,0.0009994998749374613
Humanoid-v5,SAC,TD3,bootstrap,0.05,1.0,50,0.999,0.0009994998749374613
