task,algo1,algo2,test,alpha,target_n,fpr,se,expected_fpr
Hopper-v5,SAC,TD3,Welch t-test,0.01,5,0.002,0.0014127986409959489,0.01
Hopper-v5,SAC,TD3,Mann-Whitney,0.01,5,0.005,0.0022304708023195463,0.01
Hopper-v5,SAC,TD3,Ranked t-test,0.01,5,0.016,0.003967870965643918,0.01
Hopper-v5,SAC,TD3,bootstrap,0.01,5,0.069,0.008014923580421713,0.01
Hopper-v5,SAC,TD3,permutation,0.01,5,0.006,0.002442130217658346,0.01
Hopper-v5,SAC,TD3,t-test,0.01,10,0.003,0.001729450779872038,0.01
Hopper-v5,SAC,TD3,Welch t-test,0.01,10,0.003,0.001729450779872038,0.01
Hopper-v5,SAC,TD3,Mann-Whitney,0.01,10,0.004,0.001995995991979944,0.01
Hopper-v5,SAC,TD3,Ranked t-test,0.01,10,0.011,0.003298332912245215,0.01
Hopper-v5,SAC,TD3,bootstrap,0.01,10,0.041,0.006270486424512854,0.01
Hopper-v5,SAC,TD3,permutation,0.01,10,0.017,0.004087909000944126,0.01
Hopper-v5,SAC,TD3,t-test,0.01,20,0.008,0.0028170906978654416,0.01
Hopper-v5,SAC,TD3,Welch t-test,0.01,20,0.011,0.003298332912245215,0.01
Hopper-v5,SAC,TD3,Mann-Whitney,0.01,20,0.009,0.002986469487538756,0.01
Hopper-v5,SAC,TD3,Ranked t-test,0.01,20,0.009,0.002986469487538756,0.01
Hopper-v5,SAC,TD3,bootstrap,0.01,20,0.035,0.005811626278418116,0.01
Hopper-v5,SAC,TD3,permutation,0.01,20,0.015,0.003843826218756514,0.01
Hopper-v5,SAC,TD3,t-test,0.01,30,0.017,0.004087909000944126,0.01
Hopper-v5,SAC,TD3,Welch t-test,0.01,30,0.018,0.004204283529925164,0.01
Hopper-v5,SAC,TD3,Mann-Whitney,0.01,30,0.01,0.003146426544510455,0.01
Hopper-v5,SAC,TD3,Ranked t-test,0.01,30,0.018,0.004204283529925164,0.01
Hopper-v5,SAC,TD3,bootstrap,0.01,30,0.024,0.004839834707921336,0.01
Hopper-v5,SAC,TD3,permutation,0.01,30,0.013,0.003582038525755969,0.01
Hopper-v5,SAC,TD3,t-test,0.01,50,0.009,0.002986469487538756,0.01
Hopper-v5,SAC,TD3,Welch t-test,0.01,50,0.017,0.004087909000944126,0.01
Hopper-v5,SAC,TD3,Mann-Whitney,0.01,50,0.01,0.003146426544510455,0.01
Hopper-v5,SAC,TD3,Ranked t-test,0.01,50,0.016,0.003967870965643918,0.01
Hopper-v5,SAC,TD3,bootstrap,0.01,50,0.018,0.004204283529925164,0.01
Hopper-v5,SAC,TD3,permutation,0.01,50,0.019,0.004317290817167636,0.01
Hopper-v5,SAC,TD3,t-test,0.01,100,0.01,0.003146426544510455,0.01
Hopper-v5,SAC,TD3,Welch t-test,0.01,100,0.018,0.004204283529925164,0.01
Hopper-v5,SAC,TD3,Mann-Whitney,0.01,100,0.013,0.003582038525755969,0.01
Hopper-v5,SAC,TD3,Ranked t-test,0.01,100,0.011,0.003298332912245215,0.01
Hopper-v5,SAC,TD3,bootstrap,0.01,100,0.014,0.003715373467095872,0.01
Hopper-v5,SAC,TD3,permutation,0.01,100,0.013,0.003582038525755969,0.01
Hopper-v5,SAC,DDPG,t-test,0.05,2,0.111,0.00993373041711924,0.05
Hopper-v5,SAC,DDPG,Welch t-test,0.05,2,0.034,0.005730968504537431,0.05
Hopper-v5,SAC,DDPG,Mann-Whitney,0.05,2,0.0,0.0,0.05
Hopper-v5,SAC,DDPG,Ranked t-test,0.05,2,0.0,0.0,0.05
Hopper-v5,SAC,DDPG,bootstrap,0.05,2,0.412,0.015564575162849772,0.05
Hopper-v5,SAC,DDPG,permutation,0.05,2,0.39,0.01542400726140908,0.05
Hopper-v5,SAC,DDPG,t-test,0.05,3,0.091,0.009094998625618368,0.05
Hopper-v5,SAC,DDPG,Welch t-test,0.05,3,0.054,0.007147307185227175,0.05
Hopper-v5,SAC,DDPG,Mann-Whitney,0.05,3,0.0,0.0,0.05
Hopper-v5,SAC,DDPG,Ranked t-test,0.05,3,0.133,0.010738295954200556,0.05
Hopper-v5,SAC,DDPG,bootstrap,0.05,3,0.218,0.0130566458173606,0.05
Hopper-v5,SAC,DDPG,permutation,0.05,3,0.141,0.011005407761641547,0.05
Hopper-v5,SAC,DDPG,t-test,0.05,5,0.07,0.008068457101577725,0.05
Hopper-v5,SAC,DDPG,Welch t-test,0.05,5,0.056,0.007270763371201128,0.05
Hopper-v5,SAC,DDPG,Mann-Whitney,0.05,5,0.032,0.005565608681896348,0.05
Hopper-v5,SAC,DDPG,Ranked t-test,0.05,5,0.082,0.008676174272108648,0.05
Hopper-v5,SAC,DDPG,bootstrap,0.05,5,0.146,0.011166198995181842,0.05
Hopper-v5,SAC,DDPG,permutation,0.05,5,0.066,0.007851369307324678,0.05
Hopper-v5,SAC,DDPG,t-test,0.05,10,0.061,0.0075682891065286355,0.05
Hopper-v5,SAC,DDPG,Welch t-test,0.05,10,0.054,0.007147307185227175,0.05
Hopper-v5,SAC,DDPG,Mann-Whitney,0.05,10,0.093,0.009184280047995052,0.05
Hopper-v5,SAC,DDPG,Ranked t-test,0.05,10,0.105,0.009694070352540258,0.05
Hopper-v5,SAC,DDPG,bootstrap,0.05,10,0.08,0.008579044235810887,0.05
Hopper-v5,SAC,DDPG,permutation,0.05,10,0.062,0.007626008130076967,0.05
Hopper-v5,SAC,DDPG,t-test,0.05,20,0.064,0.007739767438366608,0.05
Hopper-v5,SAC,DDPG,Welch t-test,0.05,20,0.056,0.007270763371201128,0.05
Hopper-v5,SAC,DDPG,Mann-Whitney,0.05,20,0.154,0.011414201680362931,0.05
Hopper-v5,SAC,DDPG,Ranked t-test,0.05,20,0.163,0.011680368144883106,0.05
Hopper-v5,SAC,DDPG,bootstrap,0.05,20,0.063,0.007683163410991596,0.05
Hopper-v5,SAC,DDPG,permutation,0.05,20,0.052,0.007021111023192838,0.05
Hopper-v5,SAC,DDPG,t-test,0.05,30,0.052,0.007021111023192838,0.05
Hopper-v5,SAC,DDPG,Welch t-test,0.05,30,0.062,0.007626008130076967,0.05
Hopper-v5,SAC,DDPG,Mann-Whitney,0.05,30,0.217,0.013034991369387246,0.05
Hopper-v5,SAC,DDPG,Ranked t-test,0.05,30,0.186,0.012304633273690036,0.05
Hopper-v5,SAC,DDPG,bootstrap,0.05,30,0.059,0.007451107300260815,0.05
Hopper-v5,SAC,DDPG,permutation,0.05,30,0.053,0.00708456067798138,0.05
Hopper-v5,SAC,DDPG,t-test,0.05,50,0.048,0.006759881655768835,0.05
Hopper-v5,SAC,DDPG,Welch t-test,0.05,50,0.044,0.006485676526007136,0.05
Hopper-v5,SAC,DDPG,Mann-Whitney,0.05,50,0.32,0.014751271131668619,0.05
Hopper-v5,SAC,DDPG,Ranked t-test,0.05,50,0.31,0.014625320509308504,0.05
Hopper-v5,SAC,DDPG,bootstrap,0.05,50,0.06,0.007509993342207435,0.05
Hopper-v5,SAC,DDPG,permutation,0.05,50,0.057,0.007331507348424334,0.05
Hopper-v5,SAC,DDPG,t-test,0.05,100,0.053,0.00708456067798138,0.05
Hopper-v5,SAC,DDPG,Welch t-test,0.05,100,0.039,0.006122009474020765,0.05
Hopper-v5,SAC,DDPG,Mann-Whitney,0.05,100,0.514,0.015805189021330938,0.05
Hopper-v5,SAC,DDPG,Ranked t-test,0.05,100,0.502,0.01581126180922952,0.05
Hopper-v5,SAC,DDPG,bootstrap,0.05,100,0.05,0.006892024376045111,0.05
Hopper-v5,SAC,DDPG,permutation,0.05,100,0.051,0.00695693898205238,0.05
Hopper-v5,SAC,DDPG,t-test,0.01,2,0.031,0.0054807846153630225,0.01
Hopper-v5,SAC,DDPG,Welch t-test,0.01,2,0.013,0.003582038525755969,0.01
Hopper-v5,SAC,DDPG,Mann-Whitney,0.01,2,0.0,0.0,0.01
Hopper-v5,SAC,DDPG,Ranked t-test,0.01,2,0.0,0.0,0.01
Hopper-v5,SAC,DDPG,bootstrap,0.01,2,0.411,0.015558888135082145,0.01
Hopper-v5,SAC,DDPG,permutation,0.01,2,0.373,0.015292841462592882,0.01
Hopper-v5,SAC,DDPG,t-test,0.01,3,0.032,0.005565608681896348,0.01
Hopper-v5,SAC,DDPG,Welch t-test,0.01,3,0.016,0.003967870965643918,0.01
Hopper-v5,SAC,DDPG,Mann-Whitney,0.01,3,0.0,0.0,0.01
Hopper-v5,SAC,DDPG,Ranked t-test,0.01,3,0.0,0.0,0.01
Hopper-v5,SAC,DDPG,bootstrap,0.01,3,0.146,0.011166198995181842,0.01
Hopper-v5,SAC,DDPG,permutation,0.01,3,0.149,0.01126050620531777,0.01
Hopper-v5,SAC,DDPG,t-test,0.01,5,0.03,0.005394441583704471,0.01
Hopper-v5,SAC,DDPG,Welch t-test,0.01,5,0.012,0.003443254274665175,0.01
